sentiment ,description
-3,"1 -4 -3 Horrible[-4] [sentence: 1,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"1 -4 -3 Porn .[sentence: 1,-1] Filth[-4] [sentence: 1,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"2 -5 -3 HolyOk I really hate[-4] [-1 booster word] giving any ad supported[2] app 5 stars .[sentence: 2,-5] Usually the ads ,especially animated ones ....[sentence: 1,-1] But this one is a must have ![+1 punctuation mood emphasis] [sentence: 2,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"1 -4 -3 New update is terrible[-4] [sentence: 1,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"1 -4 -3 I hate[-4] it [sentence: 1,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"1 -4 -3 Hate[-4] Network [proper noun] Conection [proper noun] requests [sentence: 1,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"1 -4 -3 Fuckkkk[-3] [-0.6 spelling emphasis] [sentence: 1,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-3,"1 -4 -3 Its just a worst[-3] photo editer im seen everIts takes more memory ,its always suggesting more effect's waste[-2] of time ....![-1 punctuation emphasis] [sentence: 1,-4] __ /'/[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 PROBLEM[-2] ...!!![-1 punctuation emphasis] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Wtf[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 VERY POOR[-2] [-1 booster word] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Mature rating bullshit[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 wtf[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Very bad[-2] [-1 booster word] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Sucks[-2] ![-1 punctuation emphasis] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 No problems[-2] !!!!![-1 punctuation emphasis] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Very bad[-2] [-1 booster word] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Stinksauer[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Crap[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 What I dislike[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Irritating[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 It's o .[sentence: 1,-1] k .[sentence: 1,-1] But staff has too much control over your artistic abilities .[sentence: 1,-1] They make you ,and break you .[sentence: 1,-1] People will steal[-3] a pic .[sentence: 1,-3] from your gallery ,they turn a blind[-2] eye .[sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 No more bad[-2] photos ![-1 punctuation emphasis] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Very poor[-2] [-1 booster word] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-2,"1 -3 -2 Lame[-3] [sentence: 1,-3] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Bug[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Bad[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Recent trouble[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Error[-2] while opening notification [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 More features than other editing appsWith this app I can way more changes with the pictures than other apps .[sentence: 1,-1] I have no problem[-2] with it ,still figuring out all the features .[sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Non stop loadingAlways hang[-2] ...[sentence: 1,-2] selecting some effect ,loading 5 min ..[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"3 -4 -1 NiceeeI[2] love[3] it ,but I jus hate[-4] when it needs to be upgraded ..[sentence: 3,-4] it stop working ...[sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"3 -4 -1 Love[3] it but hate[-4] it [sentence: 3,-4] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Foto blur[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Poor[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Suspicious[-2] activity [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"2 -3 -1 what's wrong[-2] ![-1 punctuation emphasis] [sentence: 1,-3] it was perfect[2] until now ,it doesn't allow me to do anything ,i just click on it and there the forse close comes ,please[2] do something ,i need this app [sentence: 2,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 It sucks[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Feeling frusto :-| [-1 emoticon] y dis kolaveri ?[sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Poor[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Poor[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 So freaking[-2] awsom [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Somewhat difficult[-2] to use [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Bad[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Locked outI had to reinstall the app because I got a replacement phone .[sentence: 1,-1] I never thought I would use the community sharing and whatnot ,so I didn't bother[-2] to remember my sign ins .[sentence: 1,-2] Forgot info link will not send anything to my email so I lost everything I did and no way to contact devs [sentence: 1,-1] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Its so big :( [-1 emoticon] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Ultimatum[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 sick[-2] app [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Problem[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 addicted[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Gay[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Bad[-2] app [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Explosive[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Not liking[3] [*-0.5 approx. negated multiplier] it [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 My only regret[-2] about Pics [proper noun] Art [proper noun] ...[sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Dope[-2] asf [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Addicted[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Bad[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Need eraser[-2] on lencs ...[sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Poor[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Only problem[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 WorstWorst dam app do not download ,it sucks[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Poor[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Very very very very very very very g bad[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Dope[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Harsh[-2] bhojak [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 It's weird[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 What the hell[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
-1,"1 -2 -1 Blemish[-2] [sentence: 1,-2] [result: max + and - of any sentence][scale result = sum of pos and neg scores]"
